Product title,Product vendor,Product type,Net items sold,Gross sales,Discounts,Returns,Net sales,Taxes,Total sales
33 Questions About American History You're Not Supposed to Ask,"Thomas E. Woods, Jr.;",Book,1,28,0,0,28,1.4,29.4
The Perfection Trap,Thomas Curran;,Book,1,42.2,0,0,42.2,2.11,44.31
Mouseford Academy,Thea Stilton; Elisabetta Dami;,Book,1,15,0,0,15,0.75,15.75
Drama at Mouseford,Thea Stilton;,Book,1,15,0,0,15,0.75,15.75
Thea Stilton Se: The Dance Of The Star Fairies - Hardcover,Thea Stilton;,Book,1,20,0,0,20,1,21
Big Trouble in the Big Apple,Thea Stilton,Book,1,18,0,0,18,0.9,18.9
Scholastic: Thea Stilton and the Journey to the Lion's Den,Thea Stilton,Book,1,18,0,0,18,0.9,18.9
Thea Stilton and the Prince's Emerald,Thea Stilton,Book,1,18,0,0,18,0.9,18.9
Thea Stilton and the Secret of the Old Castle,Thea Stilton,Book,1,18,0,0,18,0.9,18.9
Horrible Histories: The Blitzed Brits,Terry Deary,Book,1,10,0,0,10,0.5,10.5
The Iron Man,Ted Hughes;,Book,1,10,0,0,10,0.5,10.5
"Chainsaw Man, Vol. 5",Tatsuki Fujimoto; Tatsuki Fujimoto;,Book,1,32,0,0,32,1.6,33.6
Alphabet,Tangerine Designs,Book,1,13,0,0,13,0.65,13.65
Ignite Me - Shatter Me #3,Tahereh Mafi;,Book,1,23,0,0,23,1.15,24.15
Shatter Me,Tahereh Mafi;,Book,1,46,0,-20,26,1.3,27.3
A Palace in the Old Village,Tahar Ben Jelloun;,Book,1,20,0,0,20,1,21
The Bell Jar,Sylvia Plath;,Book,1,25,0,0,25,1.25,26.25
Leap Scrubs Up,Suzanne I. Barchers,Book,1,9.99,-0.45,0,9.54,0.48,10.02
Mockingjay,Suzanne Collins;,Book,1,25,0,0,25,1.25,26.25
The Hunger Games,Suzanne Collins,Book,1,20,0,0,20,1,21
Pluto's Best,Susan Ring;,Book,1,10,0,0,10,0.5,10.5
"George, Timmy and the Lighthouse Mystery",Sue Welford;,Book,1,4,0,0,4,0.2,4.2
Immortal,Sue Lynn Tan;,Book,1,33,-1.38,0,31.62,1.58,33.2
"Speed Read F1: The Technology, Rules, History and Concepts Key to the Sport",Stuart Codling,Book,1,28,0,0,28,1.4,29.4
Watch Your Tail! (Geronimo Stilton Cavemice #2),"Stilton, Geronimo",Book,1,20,0,0,20,1,21
Thea Stilton and the Mystery on the Orient Express,Stilton Thea;,Book,1,18,0,0,18,0.9,18.9
The Girl with the Dragon Tattoo,Stieg Larsson;,Book,1,23.01,-0.97,0,22.04,1.09,23.13
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,Book,1,13,0,0,13,0.65,13.65
The Girl Who Played with Fire,Stieg Larsson,Book,1,16,0,0,16,0.8,16.8
How Democracies Die,Steven Levitsky; Daniel Ziblatt;,Book,1,16,-0.6,0,15.4,0.77,16.17
A Brief History of Time,Stephen W. Hawking;,Book,1,20,0,0,20,1,21
The 7 Habits Of Highly Effective People,Stephen R. Covey;,Book,1,20,0,0,20,1,21
The Fishmonger's Company Cook Book Recipes - [Hardcover],Stephen Pini,Book,1,49,0,0,49,2.45,51.45
Last Man Standing,Stephen Leather;,Book,1,16,0,0,16,0.8,16.8
The Birthday Girl,Stephen Leather;,Book,1,13,0,0,13,0.65,13.65
Heroes,Stephen Fry;,Book,1,26,0,0,26,1.3,27.3
Troy,Stephen Fry;,Book,1,26,0,0,26,1.3,27.3
A Curse For True Love,Stephanie Garber;,Book,1,25,0,0,25,1.25,26.25
Timmy Failure 02: Now Look What You've Done,Stephan Pastis;,Book,1,18,0,0,18,0.9,18.9
Only If You're Lucky,Stacy Willingham;,Book,1,25,-1.97,0,23.03,1.15,24.18
The Hungry Student Vegan Cookbook,Spruce Spruce;,Book,1,20,0,0,20,1,21
I Was Told to Come Alone,Souad Mekhennet;,Book,1,28,0,0,28,1.4,29.4
"Girl, Missing",Sophie McKenzie,Book,1,21,0,0,21,1.05,22.05
A World Without Princes,Soman Chainani,Book,1,25,0,0,25,1.25,26.25
12 years a slave : A true story,Solomon Northup;,Book,1,20,0,0,20,1,21
A Study in Scarlet,Sir Arthur Conan Doyle;,Book,1,20,0,0,20,1,21
The Adventures of Sherlock Holmes - Hardcover,Sir Arthur Conan Doyle;,Book,1,20,0,0,20,1,21
Down at the Station,Siobhan Dodds;,Book,1,10,0,0,10,0.5,10.5
Hector the Hoopoe's Prized Possession,Simone Lok;,Book,2,70,0,0,70,3.5,73.5
Hector the Hoopoe Greeting Card,Simone Lok,Accessories,1,10,0,0,10,0.5,10.5
The Hungry Hoopoe,Simone Lok,Book,1,35,0,0,35,1.75,36.75
The Montessori Baby,Simone Davies; Junnifa Uzodike;,Book,1,25,0,0,25,1.25,26.25
Bumper Junior Art Book - Colour-in-Mazes,Simon Chadwick,Book,1,22,0,0,22,1.1,23.1
World War I,Simon Adams;,Book,1,18,0,0,18,0.9,18.9
Coming Back: the Odyssey of a Pakistani through India,SHUEYB. GANDAPUR;,Book,1,49,0,0,49,2.45,51.45
Victoria & Abdul (Movie Tie-in),Shrabani Basu;,Book,1,25,0,0,25,1.25,26.25
